FILIAL;MÊS;CONTA;REAL;ORÇ. GERENCIAL
0101-MCZ;JAN;311040101018 - GRATIFICAÇÕES / PREMIAÇÕES;-4.100;-15.562
0101-MCZ;JAN;311040101019 - HORAS EXTRAS;-14.042;-11.320
0101-MCZ;JAN;311040101022 - MENOR APRENDIZ;0;-2.000
0101-MCZ;JAN;311040101023 - MULTAS - RESCISOES DE CONTRATOS RM;-45;0
0101-MCZ;JAN;311040101027 - PERICULOSIDADE;0;-1.545
0101-MCZ;JAN;311040101029 - SALÁRIOS E ORDENADOS;-689.724;-721.866
0101-MCZ;JAN;311040101031 - EPI E UNIFORMES;-15.505;-18.600
0101-MCZ;JAN;311040101032 - VALE TRANSPORTE;-99.139;-69.219
0101-MCZ;JAN;311040101036 - QUEBRA DE CAIXA;0;-1.502
0101-MCZ;JAN;311040101038 - AJUDA DE CUSTO DOMINGO;0;-11.286
0101-MCZ;JAN;311040101039 - AJUDA DE CUSTO FERIADO;-504;-28.826
0101-MCZ;JAN;311040101049 - GRATIFICACOES, ADICIONAIS E CORRELATOS;-20.102;0
0101-MCZ;JAN;311040101052 - SEGURO DE VIDA;-4.514;-1.943
0101-MCZ;JAN;311040101053 - CONVENIO FARMACIA;-32.205;0
0101-MCZ;JAN;311040102001 - FGTS RESCISAO;0;-5.200
0101-MCZ;JAN;311040102002 - INSS PATRONAL;-327.533;-367.909
0101-MCZ;JAN;311040102004 - FGTS;-93.286;-102.197
0101-MCZ;JAN;311040102005 - FGTS 40% E MULTAS RESCISORIAS;-63.708;-15.254
0101-MCZ;JAN;311040103001 - PROVISAO SOBRE FERIAS;-31.452;-141.883
0101-MCZ;JAN;311040103002 - PROVISAO SOBRE INSS S/ FERIAS;-9.058;-40.862
0101-MCZ;JAN;311040103003 - PROVISAO SOBRE FGTS S/ FERIAS;-2.505;-11.351
0101-MCZ;JAN;311040103005 - PROVISAO SOBRE 13º SALARIO;-105.274;-106.455
0101-MCZ;JAN;311040103006 - PROVISAO SOBRE INSS S/ 13º SALARIO;-27.526;-30.659
0101-MCZ;JAN;311040103007 - PROVISAO SOBRE FGTS S/ 13º SALARIO;-7.639;-8.516
0101-MCZ;JAN;311040109005 - ( - ) DESCONTO SALARIOS E ORDENADOS;21.725;0
0101-MCZ;JAN;311040109007 - ( - ) DESC AVARIAS/EQUIP TRABALHO;256;0
0101-MCZ;JAN;311040109009 - ( - ) CONVENIO FARMACIA;19.601;0
0101-MCZ;JAN;311040109011 - ( - ) ASSISTENCIA MEDICA;46.929;0
0101-MCZ;JAN;311040109012 - ( - ) PLANO ODONTOLOGICO;3.651;0
0101-MCZ;JAN;311040109013 - ( - ) VALE TRANSPORTE;27.557;0
0101-MCZ;JAN;311040109014 - ( - ) AVISO PREVIO;11.124;0
0101-MCZ;JAN;311040201001 - AGUA/ESGOTO;0;-3.255
0101-MCZ;JAN;311040201002 - ALUGUEL;-10.282;-633.290
0101-MCZ;JAN;311040201027 - ENERGIA ELETRICA;-315.632;-300.000
0101-MCZ;JAN;311040201058 - COMUNICACAO;-24.325;-23.747
0101-MCZ;JAN;311040301004 - GASTOS COM MIDIA DIGITAL;-286.947;-303.884
0101-MCZ;JAN;311040301009 - GASTOS COM HONORARIOS PUBLICITARIOS;-129.200;-74.250
0101-MCZ;JAN;311040301011 - GASTOS COM DESPESAS MARKETING;-3.627;-4.364
0101-MCZ;JAN;311040301012 - GASTOS COM PRODUCAO/GRAFICA;-33.720;-14.000
0101-MCZ;JAN;311040302006 - SERVICOS COM  RADIO INDOOR;-9.858;-984
0101-MCZ;JAN;311040302018 - SERVICOS COM PRODUCAO ELETRONICA;-46.034;-41.153
0101-MCZ;JAN;311040302019 - PATROCINIO;-16.000;-2.727
0101-MCZ;JAN;311040302022 - SERVICOS COM COMUNICACAO VISUAL - MKT;0;-4.545
0101-MCZ;JAN;311040304001 - FRETE DE ENTREGA PARA CLIENTES;-295.677;0
0101-MCZ;JAN;311040304005 - FRETE DE TRANSFERENCIA INTERMUNICIPAL/INTERESTADUAL - SERV. TERCEIROS;0;-529.116
0101-MCZ;JAN;311040405002 - LOCACAO DE MAQUINAS E EQUIPAMENTOS;-98.158;-85.684
0101-MCZ;JAN;311040405004 - LOCACAO DE MAQUINAS E EQUIPAMENTOS DE INFORMATICA;-278.630;-31.437
0101-MCZ;JAN;311040414010 - LICENCIAMENTO DE SOFTWARE;-24.735;-5.236
0101-MCZ;JAN;311040414011 - DESPESAS COM INFORMATICA E TELECOM;-63.381;-10.644
0101-MCZ;JAN;311040414012 - LICENCIAMENTOS SOFTWARE - ECOMM E MKTPLACE;-34.290;0
0101-MCZ;JAN;311040414013 - DESPESAS COM INTELIGENCIA DE DADOS;6.838;0
0101-MCZ;JAN;311040417002 - HOTEIS E ESTADIAS;-28.628;-600
0101-MCZ;JAN;311040417003 - PASSAGENS AEREAS E TERRESTRE;-16.300;0
0101-MCZ;JAN;311040417004 - TAXI / UBER;-16.489;-400
0101-MCZ;JAN;311040417005 - LOCACAO DE VEICULOS EM VIAGEM;-12.594;0
0101-MCZ;JAN;311040417006 - COMBUSTIVEL EM VIAGEM;-20.670;-326
0101-MCZ;JAN;311040417007 - ALIMENTACAO EM VIAGEM;-47.607;-600
0101-MCZ;JAN;311040429005 - SERVICOS  CONTABEIS;-859;-19.392
0101-MCZ;JAN;311040429006 - SERVICOS CONSULTORIA E AUDITORIA;-270.637;0
0101-MCZ;JAN;311040429008 - SERVICOS EM DESENVOLVIMENTO DE SISTEMAS;-88.306;0
0101-MCZ;JAN;311040429009 - SERVICOS  ENERGIA ELETRICA;-2.400;-12.000
0101-MCZ;JAN;311040429010 - SERVICOS  ASSESORIA FINANCEIRA;-7.123;0
0101-MCZ;JAN;311040429011 - SERVICOS  JURIDICOS;-5.500;-4.000
0101-MCZ;JAN;311040429015 - SERVICOS  PREVENCAO DE PERDAS;-9.000;0
0101-MCZ;JAN;311040429016 - SERVICOS  SEGURANCA E VIGILANCIA;-54.388;-54.388
0101-MCZ;JAN;311040429017 - SERVICOS  FRETES E CARRETOS;-222;-1.000
0101-MCZ;JAN;311040429018 - SERVICOS  COM TECNOLOGIA;0;-608
0101-MCZ;JAN;311040429020 - SERVICOS  COM MARKETING;0;-1.980
0101-MCZ;JAN;311040429021 - SERVICOS COM TRANSPORTE E GUARDA DE VALORES;-5.796;-10.949
0101-MCZ;JAN;311040429022 - SERVICOS COM INSTALACOES E MONTAGENS;0;-2.000
0101-MCZ;JAN;311040429023 - SERVICOS COM LIMPEZA E CONSERVACAO;-119.119;-119.750
0101-MCZ;JAN;311040429025 - SERVICOS COM INFORMATICA E TECNOLOGIA;-158;0
0101-MCZ;JAN;311040429027 - SERVICOS DE DEDETIZACAO;0;-900
0101-MCZ;JAN;311040429031 - SERVICOS COM MANUTENCAO;-31.398;-31.450
0101-MCZ;JAN;311040429033 - SERVICOS DE ANALISE DE AGUA;-5.319;-5.319
0101-MCZ;JAN;311040502004 - BENS DE NATUREZA NAO PERMANENTE;0;-1.260
0101-MCZ;JAN;311040502005 - CONDUCAO E PASSAGENS;0;-434
0101-MCZ;JAN;311040502006 - CONFRATERNIZACAO E EVENTOS INTERNOS;-615;-3.200
0101-MCZ;JAN;311040502007 - CORREIOS E MALOTES;0;-540
0101-MCZ;JAN;311040502008 - DESPESAS LEGAIS E JUDICIAIS;-280;-630
0101-MCZ;JAN;311040502009 - DESPESAS CARTORIO;-3.083;0
0101-MCZ;JAN;311040502015 - IMPRESSOS / MATERIAIS GRAFICOS;0;-2.051
0101-MCZ;JAN;311040502016 - LANCHES E REFEICOES;-1.726;-2.600
0101-MCZ;JAN;311040502017 - MATERIAL EXPEDIENTE - OPERACAO LOJA;-933;-600
0101-MCZ;JAN;311040502018 - MATERIAL DE LIMPEZA;-3.287;-3.020
0101-MCZ;JAN;311040502023 - SEGUROS BENS MOVEIS;-12.282;0
0101-MCZ;JAN;311040502025 - DESPESA COM RESSARCIMENTO;-8.954;-2.160
0101-MCZ;JAN;311040502027 - DESPESAS COM AERONAVE;-5.787;0
0101-MCZ;JAN;311040502029 - DESPESAS COM MATERIAL DE EXPEDIENTE;-3.964;-5.400
0101-MCZ;JAN;311040502031 - COMBUSTIVEL VEICULOS DE TERCEIROS;-428;-977
0101-MCZ;JAN;311040502035 - DESPESA COM ASSOCIACAO;0;-1.575
0101-MCZ;JAN;311040502039 - DESPESAS COM MATERIAL CONSUMO;-33.137;-50.617
0101-MCZ;JAN;311040502040 - MATERIAL COPA E COZINHA;-8.620;-6.580
0101-MCZ;JAN;311040502042 - COLETA DE RESIDUOS;-29.540;-32.868
0101-MCZ;JAN;311040502046 - BAIXAS DE ESTOQUE CONSUMO (5949/6949);-10.491;-8.000
0101-MCZ;JAN;311040502047 - MATERIAIS DE DIVULGACOES INTERNAS;0;-1.400
0101-MCZ;JAN;311040502048 - EXAMES MEDICOS E HOSPITALARES;-6.665;-4.800
0101-MCZ;JAN;311040503001 - ENCARGOS DE DEPRECIACAO;-164.018;-163.254
0101-MCZ;JAN;311040503002 - ENCARGOS DE AMORTIZACAO;-175.627;-484.926
0101-MCZ;JAN;311040503003 - DESPESA COM AMORTIZACAO - ATIVO DE DIREITO DE USO;-850.312;0
0101-MCZ;JAN;311040504001 - ( - )  ENCARGOS DE DEPRECIACAO;77.435;0
0101-MCZ;JAN;311040504002 - ( - )  ENCARGOS DE AMORTIZACAO;53.372;0
0101-MCZ;JAN;311040504003 - ( - )  DESPESA COM AMORTIZACAO - ATIVO DE DIREITO DE USO;130.610;0
0101-MCZ;JAN;311040601003 - DESPESAS DE VIAGEM DOS DIRIGENTES;-1.534;0
0101-MCZ;JAN;311040701001 - PIS SOBRE OUTRAS RECEITAS;-10.267;0
0101-MCZ;JAN;311040701002 - COFINS SOBRE OUTRAS RECEITAS;-53.738;0
0101-MCZ;JAN;311040701003 - IPTU;-120.208;0
0101-MCZ;JAN;311040701004 - IPVA;-37.584;0
0101-MCZ;JAN;311040701005 - CONTRIBUICAO SINDICAL;-32.219;0
0101-MCZ;JAN;311040701007 - GNRE;-17.684;-30.260
0101-MCZ;JAN;311040701008 - IMPOSTOS E TAXAS GERAIS;-3.303;-5.462
0101-MCZ;JAN;311040701011 - PIS/COFINS SOBRE RECEITA DE VERBAS;-29.345;0
0101-MCZ;JAN;311040801001 - MANUTENCAO E REPARO BENS MOVEIS;-538;-6.600
0101-MCZ;JAN;311040801002 - MANUTENCAO E REPARO INSTALACOES IMOVEIS PROPRIO;-602;0
0101-MCZ;JAN;311040801003 - MANUTENCAO E REPARO INSTALACOES IMOVEIS TERCEIR;-90;-1.440
0101-MCZ;JAN;311041001001 - PERDAS ESTIMADAS COM DEVEDORES DUVIDOSOS;-226.024;0
0101-MCZ;JAN;311041001007 - PROVISAO PARA CONTINGENCIAS ADMINISTRATIVAS;0;-1.600
0101-MCZ;JAN;311041001008 - PROVISAO CONTINGENCIAS CIVEIS;0;-1.600
0101-MCZ;JAN;311041003002 - PROVISAO PARA CONTINGENCIAS TRABALHISTAS;-38.486;0
0101-MCZ;JAN;311041004001 - REVERSAO DA PROVISAO PARA CONTINGENCIAS;139.606;0
0101-MCZ;JAN;311041101002 - MULTA DE TRANSITO;-250;-1.000
0101-MCZ;JAN;311041101004 - DESPESA DE DIRIGENTE;-8.475;0
0101-MCZ;JAN;311041101005 - BRINDES INSTITUCIONAIS;-2.215;-16.400
0101-MCZ;JAN;311041101006 - DOACOES;-12.260;0
0101-MCZ;JAN;311041205001 - RECEITA DE VENDA DE ATIVO IMOBILIZADO;200.000;0
0101-MCZ;JAN;311041205003 - RECEITA DE ALUGUEL;181.443;68.241
0101-MCZ;JAN;311041205005 - RECEITA DE VERBAS COOPERADA;136.485;0
0101-MCZ;JAN;311041301001 - CREDITOS RECUPERAVEIS PIS E COFINS;41.586.488;0
0101-MCZ;JAN;311041301002 - CREDITOS RECUPERAVEIS IPI;252.628;0
0101-MCZ;JAN;311041401005 - CRM - CUSTOMER RELATIONSHIP MANAGEMENT (CALL CENTER);-520.092;0
0101-MCZ;JAN;311050101018 - DESPESA COM BONIFICACAO;-36.140;-8.000
0101-MCZ;JAN;311050101021 - TAXAS DE ADMINISTRACAO DE CARTAO;-388.672;-512.797
0101-MCZ;JAN;311050102002 - COMBUSTIVEL PARA EMPILHADEIRAS;-16.254;-41.000
0101-MCZ;JAN;311050103001 - FRETE DE ENTREGA PARA CLIENTES;-77.424;-657.662
0101-MCZ;JAN;311070101003 - DESPESAS BANCÁRIAS;-49.573;-54.885
0101-MCZ;JAN;311070101004 - IOF;-1.976;0
0101-MCZ;JAN;311070101006 - JUROS SOBRE FINANCIAMENTOS;13.435;0
0101-MCZ;JAN;311070101007 - JUROS PASSIVOS;-252.551;-62.594
0101-MCZ;JAN;311070101008 - JUROS PARCELAMENTOS;-365.079;0
0101-MCZ;JAN;311070101014 - JUROS S/ ATIVO DE DIREITO DE USO;-237.005;0
0101-MCZ;JAN;311070101018 - DESCONTOS CONCEDIDOS;-1.398;-1.486
0101-MCZ;JAN;311070101023 - IR S/ CAMBIO;-90.987;0
0101-MCZ;JAN;311070101025 - JUROS S/ ANTECIPACAO CARTAO;-1.741.221;0
0101-MCZ;JAN;311070103001 - RECEITAS JUROS ATIVOS;135.740;4.955
0101-MCZ;JAN;311070103002 - DESCONTOS OBTIDOS;16.356;6.684
0101-MCZ;JAN;311070103003 - RENDIMENTOS APLICACOES FINANCEIRAS;292;173
0101-MCZ;JAN;311070103004 - RECEITAS FUNDO CAPITALIZACAO;0;5.345
0101-MCZ;JAN;311070103005 - VARIACAO CAMBIAL ATIVAS;401.848;0
0101-MCZ;JAN;311070104023 - RECEITA DE VERBAS DESCONTOS EM DUPLICATAS;359.570;0
0101-MCZ;JAN;312010101001 - ( - ) CONTRIBUICAO SOCIAL S/ LUCRO LIQUIDO;30.495;0
0101-MCZ;JAN;312010101002 - ( - ) IMPOSTO DE RENDA;88.710;0
0101-MCZ;JAN;312010104001 - ( - ) CONTRIBUICAO SOCIAL S/ LUCRO LIQUIDO DIFERIDO;-248.454;0
0101-MCZ;JAN;312010104002 - ( - ) IMPOSTO DE RENDA  DIFERIDO;-868.572;0
0101-MCZ;JAN;Anulação Creditos Pis e Cofins;-41.586.488;0
0101-MCZ;JAN;COFINS Frete Transferência;7.137;0
0101-MCZ;JAN;Encargos sobre comissões;-217.082;-347.380
0101-MCZ;JAN;Estorno Encargos sobre comissões;217.082;347.380
0101-MCZ;JAN;Frete Transferência Bruto;-170.057;0
0101-MCZ;JAN;ICMS Frete Transferência;11.109;0
0101-MCZ;JAN;PIS Frete Transferência;1.550;0
0101-MCZ;JAN;QUEBRA;0;-352.166
0101-MCZ;JAN;Rateio do Credito Pis e Cofins;468.923;0
0101-MCZ;JAN;VPC;0;1.067.776
0101-MCZ;FEV;311010101001 - RECEITA DE MERCADORIAS VENDIDAS NACIONAL;23.520.477;34.550.534
0101-MCZ;FEV;311010101002 - RECEITA MERCADORIAS BONIFICADA;32.552;0
0101-MCZ;FEV;311010101006 - RECEITA DE FRETE MERCADORIA;81.941;327.337
0101-MCZ;FEV;311010102002 - ( - ) DESCONTOS INCONDICIONAIS;-521.755;-1.158.726
0101-MCZ;FEV;311010102003 - ( - ) ICMS S/ REVENDA MERCADORIA;-949.806;-1.277.345
0101-MCZ;FEV;311010102004 - ( - ) COFINS;-1.592.332;-2.264.514
0101-MCZ;FEV;311010102005 - ( - ) PIS/PASEP;-345.706;-524.044
0101-MCZ;FEV;311010102011 - ( - ) DEVOLUCAO DE VENDAS;-1.024.292;-1.658.426
0101-MCZ;FEV;311010102016 - ( - ) IPI;-558.668;-474.594
0101-MCZ;FEV;311010201001 - RECEITA PRESTACAO DE SERVICOS;20.132;0
0101-MCZ;FEV;311010201002 - RECEITA DE RECARGA DE CELULAR;177;0
0101-MCZ;FEV;311010201004 - RECEITA DE FRETE DE CLIENTE;271.642;0
0101-MCZ;FEV;311010202001 - ISS;-14.589;-16.367
0101-MCZ;FEV;311010202002 - PIS;-4.814;-5.401
0101-MCZ;FEV;311010202003 - COFINS;-22.175;-24.878
0101-MCZ;FEV;311020101001 - CUSTO DE MERCADORIA VENDIDA NACIONAL;-12.530.193;-18.349.343
0101-MCZ;FEV;311020101003 - CUSTO SOBRE QUEBRA DE MERCADORIA;-237.616;0
0101-MCZ;FEV;311040101001 - ADICIONAL NOTURNO;-721;-1.204
0101-MCZ;FEV;311040101005 - ALIMENTAÇÃO;-92.063;-122.720
0101-MCZ;FEV;311040101006 - ASSITÊNCIA MÉDICA;-153.665;0
0101-MCZ;FEV;311040101007 - AVISO PRÉVIO;-16.995;-16.860
0101-MCZ;FEV;311040101008 - BENEFÍCIOS A EMPREGADOS;0;-2.400
0101-MCZ;FEV;311040101010 - COMISSÃO E REPOUSO REMUNERADO;-309.036;-560.290
0101-MCZ;FEV;311040101012 - CURSOS/TREINAMENTOS JD;0;-5.000
0101-MCZ;FEV;311040101015 - FERIAS;-14.893;-8.028
0101-MCZ;FEV;311040101018 - GRATIFICAÇÕES / PREMIAÇÕES;-6.965;-15.562
0101-MCZ;FEV;311040101019 - HORAS EXTRAS;-8.000;-11.320
0101-MCZ;FEV;311040101022 - MENOR APRENDIZ;-214;-2.000
0101-MCZ;FEV;311040101023 - MULTAS - RESCISOES DE CONTRATOS RM;-43;0
0101-MCZ;FEV;311040101027 - PERICULOSIDADE;0;-1.545
0101-MCZ;FEV;311040101029 - SALÁRIOS E ORDENADOS;-654.550;-721.866
0101-MCZ;FEV;311040101031 - EPI E UNIFORMES;-1.564;-600
0101-MCZ;FEV;311040101032 - VALE TRANSPORTE;-108.514;-69.219
0101-MCZ;FEV;311040101033 - REEMBOLSO DESPESAS;-364;0
0101-MCZ;FEV;311040101036 - QUEBRA DE CAIXA;0;-1.502
0101-MCZ;FEV;311040101038 - AJUDA DE CUSTO DOMINGO;0;-11.286
0101-MCZ;FEV;311040101039 - AJUDA DE CUSTO FERIADO;0;-28.826
0101-MCZ;FEV;311040101049 - GRATIFICACOES, ADICIONAIS E CORRELATOS;-15.046;0
0101-MCZ;FEV;311040101052 - SEGURO DE VIDA;-4.324;-1.943
0101-MCZ;FEV;311040101053 - CONVENIO FARMACIA;-28.859;0
0101-MCZ;FEV;311040102001 - FGTS RESCISAO;0;-5.200
0101-MCZ;FEV;311040102002 - INSS PATRONAL;-309.262;-367.909
0101-MCZ;FEV;311040102004 - FGTS;-90.947;-102.197
0101-MCZ;FEV;311040102005 - FGTS 40% E MULTAS RESCISORIAS;-11.009;-15.254
0101-MCZ;FEV;311040103001 - PROVISAO SOBRE FERIAS;-130.864;-141.883
0101-MCZ;FEV;311040103002 - PROVISAO SOBRE INSS S/ FERIAS;-37.689;-40.862
0101-MCZ;FEV;311040103003 - PROVISAO SOBRE FGTS S/ FERIAS;-10.469;-11.351
0101-MCZ;FEV;311040103005 - PROVISAO SOBRE 13º SALARIO;-96.738;-106.455
0101-MCZ;FEV;311040103006 - PROVISAO SOBRE INSS S/ 13º SALARIO;-26.624;-30.659
0101-MCZ;FEV;311040103007 - PROVISAO SOBRE FGTS S/ 13º SALARIO;-7.374;-8.516
0101-MCZ;FEV;311040109005 - ( - ) DESCONTO SALARIOS E ORDENADOS;18.639;0
0101-MCZ;FEV;311040109007 - ( - ) DESC AVARIAS/EQUIP TRABALHO;113;0
0101-MCZ;FEV;311040109009 - ( - ) CONVENIO FARMACIA;17.991;0
0101-MCZ;FEV;311040109011 - ( - ) ASSISTENCIA MEDICA;46.427;0
0101-MCZ;FEV;311040109012 - ( - ) PLANO ODONTOLOGICO;3.840;0
0101-MCZ;FEV;311040109013 - ( - ) VALE TRANSPORTE;26.851;0
0101-MCZ;FEV;311040109014 - ( - ) AVISO PREVIO;5.332;0
0101-MCZ;FEV;311040201001 - AGUA/ESGOTO;0;-3.255
0101-MCZ;FEV;311040201002 - ALUGUEL;-10.282;-636.605
0101-MCZ;FEV;311040201027 - ENERGIA ELETRICA;-276.907;-300.000
0101-MCZ;FEV;311040201058 - COMUNICACAO;-25.053;-23.747
0101-MCZ;FEV;311040301004 - GASTOS COM MIDIA DIGITAL;-274.072;-249.530
0101-MCZ;FEV;311040301009 - GASTOS COM HONORARIOS PUBLICITARIOS;-134.900;-74.250
0101-MCZ;FEV;311040301011 - GASTOS COM DESPESAS MARKETING;-4.311;-4.364
0101-MCZ;FEV;311040301012 - GASTOS COM PRODUCAO/GRAFICA;-9.000;-14.000
0101-MCZ;FEV;311040302006 - SERVICOS COM  RADIO INDOOR;-9.858;-984
0101-MCZ;FEV;311040302018 - SERVICOS COM PRODUCAO ELETRONICA;-45.600;-41.153
0101-MCZ;FEV;311040302019 - PATROCINIO;-16.000;-2.727
0101-MCZ;FEV;311040302020 - SERVICOS COM INTELIGENCIA ESTRATEGICA;0;-12.003
0101-MCZ;FEV;311040302021 - SERVICOS MARKETING VERBAS COOPERADA;-1.506;0
0101-MCZ;FEV;311040302022 - SERVICOS COM COMUNICACAO VISUAL - MKT;0;-4.545
0101-MCZ;FEV;311040304001 - FRETE DE ENTREGA PARA CLIENTES;-634.977;0
0101-MCZ;FEV;311040304005 - FRETE DE TRANSFERENCIA INTERMUNICIPAL/INTERESTADUAL - SERV. TERCEIROS;0;-512.754
0101-MCZ;FEV;311040405002 - LOCACAO DE MAQUINAS E EQUIPAMENTOS;-1.033.043;-85.684
0101-MCZ;FEV;311040405004 - LOCACAO DE MAQUINAS E EQUIPAMENTOS DE INFORMATICA;-174.736;-31.437
0101-MCZ;FEV;311040414010 - LICENCIAMENTO DE SOFTWARE;-24.992;-5.236
0101-MCZ;FEV;311040414011 - DESPESAS COM INFORMATICA E TELECOM;-47.425;-10.644
0101-MCZ;FEV;311040414012 - LICENCIAMENTOS SOFTWARE - ECOMM E MKTPLACE;-30.413;0
0101-MCZ;FEV;311040414013 - DESPESAS COM INTELIGENCIA DE DADOS;7.069;0
0101-MCZ;FEV;311040417002 - HOTEIS E ESTADIAS;-23.101;-6.000
0101-MCZ;FEV;311040417003 - PASSAGENS AEREAS E TERRESTRE;-11.498;-2.400
0101-MCZ;FEV;311040417004 - TAXI / UBER;-2.650;-2.000
0101-MCZ;FEV;311040417005 - LOCACAO DE VEICULOS EM VIAGEM;-4.525;0
0101-MCZ;FEV;311040417006 - COMBUSTIVEL EM VIAGEM;-10.100;-2.000
0101-MCZ;FEV;311040417007 - ALIMENTACAO EM VIAGEM;-7.258;-6.000
0101-MCZ;FEV;311040429005 - SERVICOS  CONTABEIS;-859;-19.392
0101-MCZ;FEV;311040429006 - SERVICOS CONSULTORIA E AUDITORIA;-35.197;0
0101-MCZ;FEV;311040429008 - SERVICOS EM DESENVOLVIMENTO DE SISTEMAS;-88.306;0
0101-MCZ;FEV;311040429009 - SERVICOS  ENERGIA ELETRICA;-2.400;-12.000
0101-MCZ;FEV;311040429010 - SERVICOS  ASSESORIA FINANCEIRA;-6.548;0
0101-MCZ;FEV;311040429011 - SERVICOS  JURIDICOS;-6.833;-4.000
0101-MCZ;FEV;311040429016 - SERVICOS  SEGURANCA E VIGILANCIA;-54.388;-54.388
0101-MCZ;FEV;311040429017 - SERVICOS  FRETES E CARRETOS;0;-1.000
0101-MCZ;FEV;311040429018 - SERVICOS  COM TECNOLOGIA;-780;-608
0101-MCZ;FEV;311040429020 - SERVICOS  COM MARKETING;0;-1.980
0101-MCZ;FEV;311040429021 - SERVICOS COM TRANSPORTE E GUARDA DE VALORES;-5.696;-10.949
0101-MCZ;FEV;311040429022 - SERVICOS COM INSTALACOES E MONTAGENS;0;-2.000
0101-MCZ;FEV;311040429023 - SERVICOS COM LIMPEZA E CONSERVACAO;-111.480;-119.750
0101-MCZ;FEV;311040429027 - SERVICOS DE DEDETIZACAO;0;-900
0101-MCZ;FEV;311040429031 - SERVICOS COM MANUTENCAO;-27.222;-31.450
0101-MCZ;FEV;311040429033 - SERVICOS DE ANALISE DE AGUA;-5.319;-5.319
0101-MCZ;FEV;311040502001 - ASSINATURAS JORNAIS, REVISTAS E TV;-598;0
0101-MCZ;FEV;311040502004 - BENS DE NATUREZA NAO PERMANENTE;-2.231;-1.260
0101-MCZ;FEV;311040502005 - CONDUCAO E PASSAGENS;0;-1.000
0101-MCZ;FEV;311040502006 - CONFRATERNIZACAO E EVENTOS INTERNOS;-3.422;-3.200
0101-MCZ;FEV;311040502007 - CORREIOS E MALOTES;-85;-540
0101-MCZ;FEV;311040502008 - DESPESAS LEGAIS E JUDICIAIS;-7.000;-630
0101-MCZ;FEV;311040502009 - DESPESAS CARTORIO;564;0
0101-MCZ;FEV;311040502015 - IMPRESSOS / MATERIAIS GRAFICOS;0;-2.051
0101-MCZ;FEV;311040502016 - LANCHES E REFEICOES;-1.446;-9.600
0101-MCZ;FEV;311040502017 - MATERIAL EXPEDIENTE - OPERACAO LOJA;-539;-600
0101-MCZ;FEV;311040502018 - MATERIAL DE LIMPEZA;0;-3.020
0101-MCZ;FEV;311040502023 - SEGUROS BENS MOVEIS;-12.282;0
0101-MCZ;FEV;311040502025 - DESPESA COM RESSARCIMENTO;-9.990;-2.160
0101-MCZ;FEV;311040502029 - DESPESAS COM MATERIAL DE EXPEDIENTE;-68;-5.400
0101-MCZ;FEV;311040502031 - COMBUSTIVEL VEICULOS DE TERCEIROS;-1.011;-977
0101-MCZ;FEV;311040502032 - MATERIAL DE SEGURANCA/ PROTECAO;-818;0
0101-MCZ;FEV;311040502035 - DESPESA COM ASSOCIACAO;0;-1.575
0101-MCZ;FEV;311040502039 - DESPESAS COM MATERIAL CONSUMO;-31.123;-50.617
